token			lexeme
_________________________________
keyword			function
identifier		isPalindrom
separator		(
identifier		inputNum
keyword			integer
separator		)
separator		{
keyword			integer
identifier		inRemainder
operator		=
integer			0
separator		;
keyword			real
identifier		testNum
operator		=
real			0.0
separator		;
keyword			real
identifier		tempNum
operator		=
real			0.0
separator		;
keyword			if
separator		(
identifier		inputNum
operator		<
integer			0
separator		)
separator		{
keyword			ret
keyword			false
separator		;
separator		}
keyword			endif
keyword			while
separator		(
identifier		tempNum
illegal			!
operator		=
integer			0
separator		)
separator		{
identifier		inRemainder
operator		=
identifier		tempNum
operator		/
integer			10
separator		;
identifier		testNum
operator		=
identifier		testNum
operator		*
integer			10
operator		+
identifier		inRemainder
separator		;
identifier		tempNum
operator		=
identifier		testNum
operator		/
integer			10
separator		;
separator		}
keyword			if
separator		(
identifier		testNum
operator		==
identifier		inputNum
separator		)
separator		{
keyword			ret
keyword			true
separator		;
separator		}
keyword			else
separator		{
keyword			ret
keyword			false
separator		;
separator		}
keyword			endif
separator		}
